city,date,fare,ride_id
Lake Jonathanshire,2019-01-14 10:14:00,13.83,5.73941E+12
South Michelleport,2019-03-04 18:24:00,30.24,2.34391E+12
Port Samanthamouth,2019-02-24 04:29:00,33.44,2.00507E+12
Rodneyfort,2019-02-10 23:22:00,23.44,5.14925E+12
South Jack,2019-03-06 04:28:00,34.58,3.90845E+12
South Latoya,2019-03-11 12:26:00,9.52,1.995E+12
New Paulville,2019-02-27 11:17:00,43.25,7.93208E+11
Simpsonburgh,2019-04-26 00:43:00,35.98,1.11954E+11
South Karenland,2019-01-08 03:28:00,35.09,7.99562E+12
North Jasmine,2019-03-09 06:26:00,42.81,5.32764E+12
New Kimberlyborough,2019-02-07 01:10:00,9.34,7.99278E+12
West Angela,2019-01-12 01:45:00,26.86,4.82005E+12
Rodneyfort,2019-03-02 18:03:00,44.26,2.49406E+12
West Angela,2019-01-10 12:17:00,12.74,2.10872E+12
Roberthaven,2019-05-04 14:48:00,25.66,1.0262E+12
North Jason,2019-03-28 22:28:00,9.19,7.00702E+12
Williamsview,2019-01-03 16:19:00,18.93,1.97949E+12
Leahton,2019-02-26 18:42:00,8.85,6.96667E+12
West Anthony,2019-03-06 02:27:00,10.02,9.39676E+12
New Kimberlyborough,2019-04-25 22:58:00,29.67,4.82357E+12
Roberthaven,2019-02-24 10:26:00,7.8,2.18057E+12
New Paulton,2019-05-01 03:12:00,8.28,8.5271E+12
West Patrickchester,2019-03-19 05:46:00,40.86,8.98889E+11
Deanville,2019-04-25 03:29:00,41.52,6.05593E+12
West Josephberg,2019-02-19 16:22:00,36.39,3.32213E+12
West Samuelburgh,2019-05-03 14:33:00,41.12,7.33084E+12
West Heidi,2019-03-14 23:46:00,24.4,4.90857E+12
Loganberg,2019-04-01 01:06:00,8.23,6.78729E+11
Huntermouth,2019-02-10 23:32:00,25.79,1.88038E+12
South Latoya,2019-01-11 18:44:00,27.41,8.6623E+12
New Paulville,2019-03-18 22:54:00,25.05,5.0318E+12
Grahamburgh,2019-01-15 11:44:00,40.69,3.07021E+11
Port Frank,2019-02-02 14:14:00,41.47,6.74661E+12
East Kaylahaven,2019-02-28 04:13:00,25.96,3.66252E+12
Rodneyfort,2019-02-03 00:48:00,44.86,2.3257E+12
South Karenland,2019-02-12 06:52:00,36.01,4.01593E+12
West Robert,2019-02-15 04:21:00,12.28,1.4425E+12
North Markport,2019-02-18 08:17:00,38.09,9.25013E+11
Williamsview,2019-03-12 06:47:00,8.35,1.94044E+12
Richardfort,2019-02-24 08:40:00,13.93,5.62855E+12
New Kimberlyborough,2019-03-14 16:47:00,27.9,6.7508E+12
Reynoldsfurt,2019-03-25 14:33:00,34.06,6.60442E+12
